TransactionID,CustomerID,TransactionAmount,TransactionDate,MerchantID,CardType,CustomerAge,CustomerGender,CustomerIncome,TransactionCategory
1,8270,3999.39,2022-01-01 00:00:00,752,Credit,53,Male,123668.75,Utilities
2,1860,2166.84,2022-01-01 01:00:00,777,Credit,70,Male,114911.73,Dining
3,6390,2467.92,2022-01-01 02:00:00,495,Debit,63,Female,82933.79,Dining
4,6191,1331.72,2022-01-01 03:00:00,330,Prepaid,74,Female,31465.63,Dining
5,6734,3523.24,2022-01-01 04:00:00,903,Credit,42,Male,29394.98,Groceries
6,7265,4014.81,2022-01-01 05:00:00,127,Debit,73,Male,139128.65,Electronics
7,1466,1198.33,2022-01-01 06:00:00,574,Prepaid,46,Male,20040.88,Groceries
8,5426,213.9,2022-01-01 07:00:00,394,Prepaid,64,Female,110883.37,Travel
9,6578,3121.33,2022-01-01 08:00:00,944,Credit,45,Male,101715.19,Travel
10,9322,2814.75,2022-01-01 09:00:00,526,Prepaid,31,Male,85159.29,Utilities
11,2685,2013.65,2022-01-01 10:00:00,971,Prepaid,21,Male,146743.58,Electronics
12,1769,3221.25,2022-01-01 11:00:00,190,Credit,55,Female,45756.69,Dining
13,7949,2755.31,2022-01-01 12:00:00,214,Debit,24,Male,122087.24,Electronics
14,3433,1256.65,2022-01-01 13:00:00,258,Debit,30,Female,107729.09,Travel
15,6311,1991.66,2022-01-01 14:00:00,357,Credit,34,Female,146676.13,Utilities
16,6051,2143.43,2022-01-01 15:00:00,472,Credit,46,Female,141429.34,Electronics
17,7420,4401.84,2022-01-01 16:00:00,949,Debit,34,Female,36714.27,Dining
18,2184,4804.72,2022-01-01 17:00:00,189,Debit,53,Female,60003.14,Utilities
19,5555,4465.54,2022-01-01 18:00:00,856,Credit,36,Male,130604.02,Utilities
20,4385,3597.29,2022-01-01 19:00:00,397,Credit,43,Male,49725.87,Groceries
21,7396,2927.04,2022-01-01 20:00:00,130,Credit,69,Female,69210.14,Dining
22,9666,3447.86,2022-01-01 21:00:00,928,Prepaid,62,Female,101375.3,Groceries
23,3558,4695.85,2022-01-01 22:00:00,457,Credit,26,Male,93178.81,Travel
24,8849,1253.74,2022-01-01 23:00:00,923,Prepaid,19,Female,103278.85,Entertainment
25,3047,2677.93,2022-01-02 00:00:00,569,Debit,37,Male,112753.46,Electronics
26,3747,3449.59,2022-01-02 01:00:00,839,Debit,40,Male,114740.1,Entertainment
27,1189,3397.84,2022-01-02 02:00:00,950,Credit,35,Female,115882.49,Dining
28,3734,1265.13,2022-01-02 03:00:00,227,Credit,73,Male,148917.98,Groceries
29,4005,2935.72,2022-01-02 04:00:00,881,Debit,43,Male,66356.35,Dining
30,5658,3980.59,2022-01-02 05:00:00,369,Debit,69,Male,25744.23,Dining
31,2899,2378.02,2022-01-02 06:00:00,597,Debit,42,Female,65352.06,Travel
32,8734,3967.52,2022-01-02 07:00:00,512,Debit,34,Male,138504.87,Dining
33,2267,1802.61,2022-01-02 08:00:00,308,Credit,56,Male,30840.56,Electronics
34,2528,4694.11,2022-01-02 09:00:00,789,Prepaid,66,Male,104102.49,Travel
35,4556,2671.97,2022-01-02 10:00:00,405,Debit,27,Female,75010.99,Entertainment
36,4890,2981.76,2022-01-02 11:00:00,290,Debit,42,Female,139804.47,Dining
37,9838,161.65,2022-01-02 12:00:00,456,Prepaid,63,Female,140714.52,Entertainment
38,6393,855.49,2022-01-02 13:00:00,556,Credit,45,Female,122081.8,Electronics
39,9792,3166.5,2022-01-02 14:00:00,548,Prepaid,43,Male,32807.64,Electronics
40,9433,2102.25,2022-01-02 15:00:00,167,Credit,29,Male,23212.94,Electronics
41,8513,2543.28,2022-01-02 16:00:00,938,Credit,61,Male,37756.71,Entertainment
42,3612,319.54,2022-01-02 17:00:00,878,Credit,66,Male,61837.12,Entertainment
43,8041,4171.51,2022-01-02 18:00:00,881,Credit,36,Female,51386.14,Groceries
44,7235,3923.61,2022-01-02 19:00:00,973,Credit,40,Female,68068.69,Travel
45,6486,930.84,2022-01-02 20:00:00,566,Debit,31,Female,38600.01,Utilities
46,8099,3173.48,2022-01-02 21:00:00,459,Credit,34,Male,117825.41,Dining
47,1775,4092.48,2022-01-02 22:00:00,486,Debit,32,Female,129888.55,Travel
48,9226,3206.07,2022-01-02 23:00:00,227,Credit,38,Female,83433.83,Electronics
49,4152,1555.44,2022-01-03 00:00:00,875,Debit,55,Male,144348.48,Dining
50,2585,3282.28,2022-01-03 01:00:00,832,Prepaid,47,Male,35644.78,Groceries
51,4943,1056.26,2022-01-03 02:00:00,853,Prepaid,36,Male,33755.81,Travel
52,8555,1594.68,2022-01-03 03:00:00,584,Debit,49,Female,46051.89,Electronics
53,4073,1204.15,2022-01-03 04:00:00,343,Credit,46,Male,147648.63,Dining
54,2021,2786.84,2022-01-03 05:00:00,118,Debit,39,Female,74144.72,Dining
55,4843,545.59,2022-01-03 06:00:00,495,Debit,37,Female,140133.75,Electronics
56,8989,4666.89,2022-01-03 07:00:00,766,Credit,55,Male,46261.27,Entertainment
57,7873,1670.89,2022-01-03 08:00:00,328,Prepaid,55,Female,129993.41,Travel
58,6675,1098.76,2022-01-03 09:00:00,467,Debit,53,Female,60302.39,Dining
59,1161,2485.27,2022-01-03 10:00:00,157,Prepaid,18,Male,115471.92,Entertainment
60,5297,1388.6,2022-01-03 11:00:00,380,Prepaid,36,Female,146680.04,Groceries
61,1995,2676.85,2022-01-03 12:00:00,656,Prepaid,60,Female,141293.2,Dining
62,8629,1745.8,2022-01-03 13:00:00,201,Debit,43,Female,128072.66,Dining
63,2016,664.67,2022-01-03 14:00:00,147,Debit,24,Male,26526.8,Groceries
64,8869,1333.15,2022-01-03 15:00:00,661,Credit,51,Female,99010.08,Groceries
65,7439,2195.01,2022-01-03 16:00:00,692,Credit,53,Male,128608.26,Utilities
66,8892,156.31,2022-01-03 17:00:00,911,Debit,23,Male,71912.46,Utilities
67,7863,3854.36,2022-01-03 18:00:00,158,Credit,54,Female,115054.43,Dining
68,8916,3111.01,2022-01-03 19:00:00,260,Prepaid,39,Male,37954.71,Electronics
69,9529,3008.79,2022-01-03 20:00:00,202,Prepaid,70,Female,42979.46,Groceries
70,1878,2732.52,2022-01-03 21:00:00,945,Debit,26,Male,103682.23,Entertainment
71,5887,2953.61,2022-01-03 22:00:00,511,Prepaid,60,Male,76824.43,Groceries
72,5859,4673.59,2022-01-03 23:00:00,885,Debit,46,Female,48372.66,Dining
73,7331,47.8,2022-01-04 00:00:00,282,Debit,67,Male,56773.62,Dining
74,9571,243.76,2022-01-04 01:00:00,516,Debit,69,Female,100459.42,Travel
75,9684,961.51,2022-01-04 02:00:00,215,Prepaid,34,Female,114298.2,Entertainment
76,8208,840.67,2022-01-04 03:00:00,973,Debit,30,Female,46989.84,Travel
77,6276,910.07,2022-01-04 04:00:00,498,Debit,72,Female,144175.22,Groceries
78,3062,3361.36,2022-01-04 05:00:00,878,Credit,34,Female,21063.23,Travel
79,1064,2300.12,2022-01-04 06:00:00,775,Prepaid,71,Male,111008.1,Dining
80,9006,4958.94,2022-01-04 07:00:00,754,Debit,27,Female,57830.08,Electronics
81,3568,1138.3,2022-01-04 08:00:00,536,Credit,42,Female,82206.9,Groceries
82,6463,1557.6,2022-01-04 09:00:00,417,Debit,35,Female,94080.12,Dining
83,3027,4921.28,2022-01-04 10:00:00,915,Prepaid,66,Female,92997.84,Groceries
84,3695,4159.63,2022-01-04 11:00:00,705,Credit,61,Male,120916.1,Travel
85,6258,2351.65,2022-01-04 12:00:00,349,Credit,32,Male,127098.01,Travel
86,6618,2775.21,2022-01-04 13:00:00,546,Debit,44,Male,29535.42,Utilities
87,7736,4216.67,2022-01-04 14:00:00,596,Debit,36,Male,111391.16,Groceries
88,1391,2407.5,2022-01-04 15:00:00,442,Prepaid,71,Female,71877.47,Utilities
89,6892,1034.09,2022-01-04 16:00:00,526,Prepaid,32,Female,126416.61,Groceries
90,4561,4143.08,2022-01-04 17:00:00,917,Debit,62,Female,99155.75,Travel
91,7184,2691.17,2022-01-04 18:00:00,927,Credit,24,Female,21330.74,Groceries
92,4099,769.45,2022-01-04 19:00:00,339,Prepaid,60,Female,106640.46,Utilities
93,7278,2530.4,2022-01-04 20:00:00,158,Prepaid,57,Female,140342.33,Travel
94,9392,2068.95,2022-01-04 21:00:00,626,Credit,69,Female,30802.6,Utilities
95,4104,4384.83,2022-01-04 22:00:00,896,Debit,33,Female,84249.99,Groceries
96,8215,634.65,2022-01-04 23:00:00,302,Prepaid,41,Female,101360.96,Electronics
